Radius,"Pore Volume","Pore Surf Area",dV(r),dS(r),dV(logr),dS(logr)
15.2369,2.8227e-04,3.7050e-01,1.8278e-04,2.3992e-01,6.4072e-03,8.4101e+00
17.0771,6.3902e-04,7.8832e-01,1.6701e-04,1.9560e-01,6.5585e-03,7.6811e+00
19.0793,8.9406e-04,1.0557e+00,1.3651e-04,1.4310e-01,5.9924e-03,6.2816e+00
21.4620,1.2188e-03,1.3583e+00,1.1209e-04,1.0446e-01,5.5311e-03,5.1543e+00
24.4666,1.5341e-03,1.6160e+00,1.0131e-04,8.2817e-02,5.6999e-03,4.6593e+00
28.0388,1.9829e-03,1.9362e+00,1.1130e-04,7.9392e-02,7.1735e-03,5.1169e+00
32.4736,2.4675e-03,2.2346e+00,1.0018e-04,6.1700e-02,7.4770e-03,4.6049e+00
38.7488,3.2618e-03,2.6446e+00,1.0298e-04,5.3152e-02,9.1575e-03,4.7266e+00
47.8523,4.1427e-03,3.0127e+00,8.3939e-05,3.5083e-02,9.2116e-03,3.8500e+00
61.6944,5.5498e-03,3.4689e+00,8.1858e-05,2.6536e-02,1.1553e-02,3.7452e+00
86.5071,7.9471e-03,4.0232e+00,7.3911e-05,1.7088e-02,1.4548e-02,3.3635e+00
148.2885,1.3211e-02,4.7332e+00,5.7769e-05,7.7914e-03,1.9088e-02,2.5744e+00
1211.1076,5.2261e-02,5.3780e+00,1.9193e-05,3.1696e-04,3.6821e-02,6.0805e-01
