Radius,"Pore Volume","Pore Surf Area",dV(r),dS(r),dV(logr),dS(logr)
16.3562,1.0062e-03,1.2303e+00,5.3732e-04,6.5703e-01,2.0214e-02,2.4718e+01
18.6341,2.3413e-03,2.6633e+00,4.9756e-04,5.3403e-01,2.1312e-02,2.2874e+01
20.8642,2.9613e-03,3.2576e+00,3.4894e-04,3.3449e-01,1.6754e-02,1.6060e+01
23.3937,3.8016e-03,3.9760e+00,2.5601e-04,2.1887e-01,1.3768e-02,1.1770e+01
27.5623,5.0367e-03,4.8722e+00,2.4434e-04,1.7730e-01,1.5463e-02,1.1221e+01
31.6003,5.5023e-03,5.1669e+00,1.5412e-04,9.7546e-02,1.1206e-02,7.0923e+00
37.6519,6.9392e-03,5.9302e+00,1.5822e-04,8.4041e-02,1.3650e-02,7.2506e+00
45.3205,7.1726e-03,6.0332e+00,3.7312e-05,1.6466e-02,3.8875e-03,1.7156e+00
59.6839,8.0084e-03,6.3133e+00,3.7190e-05,1.2462e-02,5.0500e-03,1.6922e+00
84.8085,8.6580e-03,6.4665e+00,2.3389e-05,5.5157e-03,4.5263e-03,1.0674e+00
133.5940,9.4680e-03,6.5877e+00,1.1605e-05,1.7373e-03,3.4871e-03,5.2204e-01
1807.9990,1.1152e-02,6.6064e+00,5.1368e-07,5.6823e-06,1.2849e-03,1.4213e-02
