"Half pore width","Cumulative Pore Volume","Cumulative Surface Area",dV(r),dS(r)
7.7133,1.0790e-03,2.1992e+00,2.6819e-04,3.4770e-01
8.0683,1.1677e-03,2.3092e+00,2.4991e-04,3.0974e-01
8.4397,1.2563e-03,2.4142e+00,2.3853e-04,2.8263e-01
8.8282,1.3416e-03,2.5108e+00,2.1949e-04,2.4863e-01
9.2345,1.4055e-03,2.5799e+00,1.5724e-04,1.7027e-01
9.6595,1.4364e-03,2.6120e+00,7.2801e-05,7.5367e-02
10.1041,1.4427e-03,2.6182e+00,1.4234e-05,1.4088e-02
10.5692,1.4427e-03,2.6182e+00,0.0000e+00,0.0000e+00
11.0557,1.4427e-03,2.6182e+00,0.0000e+00,0.0000e+00
11.5646,1.4427e-03,2.6182e+00,0.0000e+00,0.0000e+00
12.0969,1.4427e-03,2.6182e+00,0.0000e+00,0.0000e+00
12.6537,1.4751e-03,2.6438e+00,5.8020e-05,4.5852e-02
13.2361,1.5535e-03,2.7030e+00,1.3463e-04,1.0171e-01
13.8453,1.6682e-03,2.7859e+00,1.8829e-04,1.3600e-01
14.4826,1.8044e-03,2.8799e+00,2.1377e-04,1.4760e-01
15.1492,1.9505e-03,2.9763e+00,2.1909e-04,1.4462e-01
15.8465,2.1051e-03,3.0739e+00,2.2175e-04,1.3994e-01
16.5758,2.2655e-03,3.1707e+00,2.1993e-04,1.3268e-01
17.3388,2.4216e-03,3.2607e+00,2.0460e-04,1.1800e-01
18.1369,2.5792e-03,3.3476e+00,1.9755e-04,1.0892e-01
18.9717,2.7113e-03,3.4172e+00,1.5820e-04,8.3387e-02
19.8449,2.8172e-03,3.4706e+00,1.2128e-04,6.1113e-02
20.7583,2.9746e-03,3.5464e+00,1.7231e-04,8.3009e-02
21.7138,3.1625e-03,3.6330e+00,1.9666e-04,9.0567e-02
22.7132,3.3713e-03,3.7249e+00,2.0890e-04,9.1974e-02
23.7586,3.6080e-03,3.8245e+00,2.2645e-04,9.5315e-02
24.8522,3.8526e-03,3.9230e+00,2.2367e-04,9.0000e-02
25.9961,4.1047e-03,4.0199e+00,2.2039e-04,8.4779e-02
27.1926,4.3700e-03,4.1175e+00,2.2169e-04,8.1526e-02
28.4443,4.6313e-03,4.2094e+00,2.0881e-04,7.3408e-02
29.7535,4.8676e-03,4.2888e+00,1.8048e-04,6.0660e-02
31.1230,5.0979e-03,4.3628e+00,1.6813e-04,5.4020e-02
32.5555,5.2447e-03,4.4079e+00,1.0250e-04,3.1485e-02
34.0540,5.4020e-03,4.4541e+00,1.0499e-04,3.0832e-02
35.6214,5.6593e-03,4.5263e+00,1.6411e-04,4.6069e-02
37.2610,5.9736e-03,4.6106e+00,1.9174e-04,5.1459e-02
38.9760,6.3264e-03,4.7012e+00,2.0568e-04,5.2771e-02
40.7700,6.7151e-03,4.7965e+00,2.1667e-04,5.3145e-02
42.6465,7.0754e-03,4.8810e+00,1.9198e-04,4.5017e-02
44.6095,7.4209e-03,4.9584e+00,1.7601e-04,3.9456e-02
46.6628,7.7444e-03,5.0277e+00,1.5754e-04,3.3763e-02
48.8105,8.0000e-03,5.0801e+00,1.1904e-04,2.4388e-02
51.0572,8.2464e-03,5.1284e+00,1.0966e-04,2.1477e-02
53.4072,8.5584e-03,5.1868e+00,1.3279e-04,2.4864e-02
55.8655,8.8793e-03,5.2442e+00,1.3053e-04,2.3365e-02
58.4368,9.2020e-03,5.2995e+00,1.2549e-04,2.1475e-02
61.1265,9.5440e-03,5.3554e+00,1.2716e-04,2.0803e-02
63.9401,9.9042e-03,5.4117e+00,1.2801e-04,2.0020e-02
66.8831,1.0370e-02,5.4814e+00,1.5842e-04,2.3685e-02
69.9616,1.1290e-02,5.6128e+00,2.9862e-04,4.2683e-02
73.1818,1.2065e-02,5.7188e+00,2.4070e-04,3.2891e-02
76.5502,1.2730e-02,5.8057e+00,1.9750e-04,2.5800e-02
80.0736,1.3375e-02,5.8862e+00,1.8313e-04,2.2870e-02
83.7592,1.4013e-02,5.9624e+00,1.7295e-04,2.0649e-02
87.6145,1.4640e-02,6.0340e+00,1.6275e-04,1.8576e-02
91.6472,1.5249e-02,6.1004e+00,1.5091e-04,1.6467e-02
95.8655,1.5827e-02,6.1607e+00,1.3700e-04,1.4290e-02
100.2780,1.6369e-02,6.2147e+00,1.2292e-04,1.2258e-02
104.8936,1.6832e-02,6.2589e+00,1.0028e-04,9.5597e-03
109.7216,1.7289e-02,6.3005e+00,9.4656e-05,8.6269e-03
114.7718,1.7748e-02,6.3405e+00,9.0938e-05,7.9234e-03
120.0545,1.8200e-02,6.3781e+00,8.5453e-05,7.1179e-03
125.5804,1.8539e-02,6.4052e+00,6.1492e-05,4.8966e-03
131.3606,1.8775e-02,6.4231e+00,4.0760e-05,3.1029e-03
137.4068,1.9106e-02,6.4472e+00,5.4801e-05,3.9882e-03
143.7314,1.9558e-02,6.4787e+00,7.1389e-05,4.9669e-03
150.3470,2.0475e-02,6.5396e+00,1.3859e-04,9.2183e-03
157.2672,2.1925e-02,6.6319e+00,2.0960e-04,1.3328e-02
164.5059,2.3392e-02,6.7210e+00,2.0262e-04,1.2317e-02
172.0777,2.4884e-02,6.8078e+00,1.9712e-04,1.1455e-02
179.9981,2.7740e-02,6.9664e+00,3.6050e-04,2.0028e-02
